,Unnamed: 0,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest
189,189,2016-11-04 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",11374,18717,Pacers,Bucks,2,-1
190,190,2016-11-04 19:00:00,Target Center,"Minneapolis, MN",11219,19356,Nuggets,Timberwolves,-1,1
191,191,2016-11-04 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Celtics,Cavaliers,5,-1
192,192,2016-11-04 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Thunder,Warriors,4,-1
193,193,2016-11-05 18:00:00,Verizon Center,"Washington, DC",14663,20173,Hawks,Wizards,1,-2
194,194,2016-11-05 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Heat,Raptors,3,-1
195,195,2016-11-05 19:00:00,United Center,"Chicago, IL",22376,20917,Knicks,Bulls,-2,1
196,196,2016-11-05 19:00:00,FedExForum,"Memphis, TN",17115,18119,Clippers,Grizzlies,-1,1
197,197,2016-11-05 19:00:00,Smoothie King Center,"New Orleans, LA",15379,17188,Suns,Pelicans,-6,2
198,198,2016-11-05 19:30:00,American Airlines Center,"Dallas, TX",19475,19200,Blazers,Mavericks,-5,0
199,199,2016-11-05 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Spurs,Jazz,-1,1
200,200,2016-11-05 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Warriors,Lakers,2,-1
201,201,2016-11-06 17:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Timberwolves,Thunder,1,-2
202,202,2016-11-06 18:00:00,Wells Fargo Center,"Philadelphia, PA",20497,20318,Cavaliers,76ers,-5,6
203,203,2016-11-06 18:00:00,Amway Center,"Orlando, FL",18846,18500,Wizards,Magic,3,-1
204,204,2016-11-06 18:00:00,The Palace of Auburn Hills,"Detroit, MI",16218,22076,Nuggets,Pistons,1,-1
205,205,2016-11-06 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17020,18165,Bulls,Pacers,1,-3
206,206,2016-11-06 18:30:00,Philips Arena,"Atlanta, GA",16895,18729,Rockets,Hawks,1,-1
207,207,2016-11-06 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",16021,18717,Kings,Bucks,3,-4
208,208,2016-11-06 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Clippers,Spurs,-1,2
209,209,2016-11-07 12:00:00,Madison Square Garden,"New York, NY",19812,19763,Jazz,Knicks,-1,1
210,210,2016-11-07 15:30:00,FedExForum,"Memphis, TN",16233,18119,Blazers,Grizzlies,-2,0
211,211,2016-11-07 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Kings,Raptors,-1,1
212,212,2016-11-07 19:00:00,American Airlines Center,"Dallas, TX",19345,19200,Bucks,Mavericks,1,-1
213,213,2016-11-07 19:30:00,TD Garden,"Boston, MA",17452,18624,Nuggets,Celtics,-2,1
214,214,2016-11-07 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Suns,Lakers,3,-1
215,215,2016-11-08 19:00:00,Wells Fargo Center,"Philadelphia, PA",14168,20318,Jazz,76ers,-6,2
216,216,2016-11-08 19:00:00,Verizon Center,"Washington, DC",13173,20173,Rockets,Wizards,-2,1
217,217,2016-11-08 19:00:00,Spectrum Center,"Charlotte, NC",16880,19077,Pacers,Hornets,3,-1
218,218,2016-11-08 20:00:00,United Center,"Chicago, IL",21320,20917,Magic,Bulls,1,-1
219,219,2016-11-08 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Heat,Thunder,2,-2
220,220,2016-11-08 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Pistons,Clippers,3,-1
221,221,2016-11-08 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Pelicans,Warriors,1,-7
222,222,2016-11-09 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Hawks,Cavaliers,-1,2
223,223,2016-11-09 20:00:00,FedExForum,"Memphis, TN",15109,18119,Nuggets,Grizzlies,1,-1
224,224,2016-11-09 22:00:00,Moda Center,"Portland, OR",19239,19441,Suns,Trail,0,-2
225,225,2016-11-09 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Mavericks,Lakers,-1,2
226,226,2016-11-09 22:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Pelicans,Kings,2,-8
227,227,2016-11-10 19:00:00,Madison Square Garden,"New York, NY",19812,19763,Nets,Knicks,1,-1
228,228,2016-11-10 19:00:00,Verizon Center,"Washington, DC",12675,20173,Celtics,Wizards,1,-3
229,229,2016-11-10 19:00:00,Spectrum Center,"Charlotte, NC",15712,19077,Jazz,Hornets,4,-1
230,230,2016-11-10 19:00:00,Amway Center,"Orlando, FL",17102,18500,Timberwolves,Magic,-2,1
231,231,2016-11-10 19:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",15360,18165,76ers,Pacers,1,-7
232,232,2016-11-10 19:30:00,Philips Arena,"Atlanta, GA",16354,18729,Bulls,Hawks,3,-1
233,233,2016-11-10 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Raptors,Thunder,-1,1
234,234,2016-11-10 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16719,18422,Pistons,Suns,1,-2
235,235,2016-11-10 21:30:00,AT&T Center,"San Antonio, TX",18418,18581,Rockets,Spurs,-2,2
236,236,2016-11-10 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Blazers,Clippers,4,0
237,237,2016-11-10 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Mavericks,Warriors,2,-1
238,238,2016-11-11 20:00:00,BMO Harris Bradley Center,"Milwaukee, WI",12159,18717,Pelicans,Bucks,-2,1
239,239,2016-11-11 20:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Bulls,Heat,-3,1
240,240,2016-11-11 21:00:00,Pepsi Center,"Denver, CO",17569,19155,Warriors,Nuggets,-2,3
241,241,2016-11-11 22:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Lakers,Kings,-1,1
242,242,2016-11-12 19:00:00,Wells Fargo Center,"Philadelphia, PA",17643,20318,Pacers,76ers,1,-1
